"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 11:27:23 GMT 2022","Wed Dec 14 11:27:46 GMT 2022","23032","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Wed Dec 14 11:27:07 GMT 2022","Wed Dec 14 11:27:23 GMT 2022","16110","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Wed Dec 14 11:25:55 GMT 2022","Wed Dec 14 11:26:06 GMT 2022","11106","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Wed Dec 14 11:26:51 GMT 2022","Wed Dec 14 11:27:07 GMT 2022","15463","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Wed Dec 14 11:26:41 GMT 2022","Wed Dec 14 11:26:51 GMT 2022","10341","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Wed Dec 14 11:26:37 GMT 2022","Wed Dec 14 11:26:41 GMT 2022","4062","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
