"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:29:31 GMT 2022","Mon Dec 19 08:29:41 GMT 2022","10128","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"skipped","Mon Dec 19 08:29:56 GMT 2022","Mon Dec 19 08:29:56 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 08:30:26 GMT 2022","Mon Dec 19 08:30:36 GMT 2022","10067","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Mon Dec 19 08:30:22 GMT 2022","Mon Dec 19 08:30:26 GMT 2022","3801","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"unknown","Mon Dec 19 08:29:45 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671438585357","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:31:06 GMT 2022","Mon Dec 19 08:31:28 GMT 2022","21351","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Mon Dec 19 08:30:51 GMT 2022","Mon Dec 19 08:31:06 GMT 2022","15656","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:30:36 GMT 2022","Mon Dec 19 08:30:51 GMT 2022","14821","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:29:41 GMT 2022","Mon Dec 19 08:29:45 GMT 2022","3497","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 08:29:45 GMT 2022","Mon Dec 19 08:29:56 GMT 2022","11279","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
