"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 15 19:00:25 GMT 2022","Thu Dec 15 19:00:39 GMT 2022","14545","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Thu Dec 15 19:00:00 GMT 2022","Thu Dec 15 19:00:10 GMT 2022","10224","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Thu Dec 15 18:59:55 GMT 2022","Thu Dec 15 19:00:00 GMT 2022","4436","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Thu Dec 15 18:59:19 GMT 2022","Thu Dec 15 18:59:30 GMT 2022","11468","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Thu Dec 15 19:00:39 GMT 2022","Thu Dec 15 19:01:02 GMT 2022","22839","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Thu Dec 15 19:00:10 GMT 2022","Thu Dec 15 19:00:25 GMT 2022","14754","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
