"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 06:58:47 GMT 2022","Sun Dec 18 06:59:01 GMT 2022","14163","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sun Dec 18 06:58:23 GMT 2022","Sun Dec 18 06:58:33 GMT 2022","9678","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sun Dec 18 06:58:20 GMT 2022","Sun Dec 18 06:58:23 GMT 2022","3406","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sun Dec 18 06:58:33 GMT 2022","Sun Dec 18 06:58:47 GMT 2022","14233","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 06:59:01 GMT 2022","Sun Dec 18 06:59:22 GMT 2022","20564","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
