"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 06:53:25 GMT 2022","Sat Dec 17 06:53:40 GMT 2022","14455","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sat Dec 17 06:53:15 GMT 2022","Sat Dec 17 06:53:25 GMT 2022","9667","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sat Dec 17 06:53:40 GMT 2022","Sat Dec 17 06:53:54 GMT 2022","14794","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sat Dec 17 06:53:12 GMT 2022","Sat Dec 17 06:53:15 GMT 2022","3765","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sat Dec 17 06:53:54 GMT 2022","Sat Dec 17 06:54:15 GMT 2022","20777","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
