"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 15 19:10:22 GMT 2022","Thu Dec 15 19:10:32 GMT 2022","10205","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Thu Dec 15 19:10:32 GMT 2022","Thu Dec 15 19:10:47 GMT 2022","15542","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Thu Dec 15 19:11:02 GMT 2022","Thu Dec 15 19:11:25 GMT 2022","22270","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Thu Dec 15 19:10:47 GMT 2022","Thu Dec 15 19:11:02 GMT 2022","15187","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Thu Dec 15 19:10:18 GMT 2022","Thu Dec 15 19:10:22 GMT 2022","3924","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Thu Dec 15 19:09:42 GMT 2022","Thu Dec 15 19:09:52 GMT 2022","10313","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
