"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 16 16:48:55 GMT 2022","Fri Dec 16 16:49:10 GMT 2022","14899","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Fri Dec 16 16:48:45 GMT 2022","Fri Dec 16 16:48:55 GMT 2022","10283","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Fri Dec 16 16:49:10 GMT 2022","Fri Dec 16 16:49:25 GMT 2022","14987","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Fri Dec 16 16:48:41 GMT 2022","Fri Dec 16 16:48:45 GMT 2022","3964","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Fri Dec 16 16:49:25 GMT 2022","Fri Dec 16 16:49:47 GMT 2022","21811","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
