"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 05:54:15 GMT 2022","Sun Dec 18 05:54:37 GMT 2022","21721","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sun Dec 18 05:53:45 GMT 2022","Sun Dec 18 05:54:00 GMT 2022","15119","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 05:53:34 GMT 2022","Sun Dec 18 05:53:45 GMT 2022","10337","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sun Dec 18 05:53:30 GMT 2022","Sun Dec 18 05:53:34 GMT 2022","3835","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sun Dec 18 05:54:00 GMT 2022","Sun Dec 18 05:54:15 GMT 2022","15189","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
