"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:40:37 GMT 2022","Mon Dec 19 08:40:47 GMT 2022","10402","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Mon Dec 19 08:41:18 GMT 2022","Mon Dec 19 08:41:39 GMT 2022","21831","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Mon Dec 19 08:39:41 GMT 2022","Mon Dec 19 08:39:52 GMT 2022","10999","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Mon Dec 19 08:41:03 GMT 2022","Mon Dec 19 08:41:18 GMT 2022","14942","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:39:52 GMT 2022","Mon Dec 19 08:39:56 GMT 2022","3714","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"unknown","Mon Dec 19 08:39:56 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671439196459","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:40:47 GMT 2022","Mon Dec 19 08:41:03 GMT 2022","15539","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:40:33 GMT 2022","Mon Dec 19 08:40:37 GMT 2022","4030","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Mon Dec 19 08:39:56 GMT 2022","Mon Dec 19 08:40:07 GMT 2022","11200","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"skipped","Mon Dec 19 08:40:07 GMT 2022","Mon Dec 19 08:40:07 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
