"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 06:53:42 GMT 2022","Sat Dec 17 06:54:04 GMT 2022","21679","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sat Dec 17 06:53:13 GMT 2022","Sat Dec 17 06:53:28 GMT 2022","14945","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sat Dec 17 06:53:02 GMT 2022","Sat Dec 17 06:53:13 GMT 2022","10254","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sat Dec 17 06:52:59 GMT 2022","Sat Dec 17 06:53:02 GMT 2022","3901","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sat Dec 17 06:53:28 GMT 2022","Sat Dec 17 06:53:42 GMT 2022","14747","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
