"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 11:20:12 GMT 2022","Wed Dec 14 11:20:27 GMT 2022","15009","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Wed Dec 14 11:20:27 GMT 2022","Wed Dec 14 11:20:49 GMT 2022","22052","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Wed Dec 14 11:19:04 GMT 2022","Wed Dec 14 11:19:15 GMT 2022","10399","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Wed Dec 14 11:19:41 GMT 2022","Wed Dec 14 11:19:45 GMT 2022","4105","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Wed Dec 14 11:19:56 GMT 2022","Wed Dec 14 11:20:12 GMT 2022","15926","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Wed Dec 14 11:19:45 GMT 2022","Wed Dec 14 11:19:56 GMT 2022","10625","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
