"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 16 11:03:08 GMT 2022","Fri Dec 16 11:03:18 GMT 2022","10467","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Fri Dec 16 11:03:04 GMT 2022","Fri Dec 16 11:03:08 GMT 2022","3897","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Fri Dec 16 11:03:33 GMT 2022","Fri Dec 16 11:03:48 GMT 2022","15160","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Fri Dec 16 11:03:48 GMT 2022","Fri Dec 16 11:04:11 GMT 2022","22103","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Fri Dec 16 11:03:18 GMT 2022","Fri Dec 16 11:03:33 GMT 2022","15327","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Fri Dec 16 11:02:24 GMT 2022","Fri Dec 16 11:02:35 GMT 2022","10687","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
