"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 09:05:13 GMT 2022","Mon Dec 19 09:05:27 GMT 2022","13645","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"unknown","Mon Dec 19 09:05:13 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671440713819","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 09:05:07 GMT 2022","Mon Dec 19 09:05:13 GMT 2022","6806","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 09:04:56 GMT 2022","Mon Dec 19 09:05:07 GMT 2022","10118","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"skipped","Mon Dec 19 09:05:27 GMT 2022","Mon Dec 19 09:05:27 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
