"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 16 16:46:29 GMT 2022","Fri Dec 16 16:46:39 GMT 2022","9993","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Fri Dec 16 16:46:54 GMT 2022","Fri Dec 16 16:47:09 GMT 2022","14583","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Fri Dec 16 16:46:39 GMT 2022","Fri Dec 16 16:46:54 GMT 2022","15321","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Fri Dec 16 16:47:09 GMT 2022","Fri Dec 16 16:47:30 GMT 2022","21180","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Fri Dec 16 16:46:25 GMT 2022","Fri Dec 16 16:46:29 GMT 2022","4142","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
