"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:30:11 GMT 2022","Mon Dec 19 08:30:15 GMT 2022","3699","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"skipped","Mon Dec 19 08:30:26 GMT 2022","Mon Dec 19 08:30:26 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 08:30:54 GMT 2022","Mon Dec 19 08:31:04 GMT 2022","10139","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"unknown","Mon Dec 19 08:30:15 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671438615049","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:30:15 GMT 2022","Mon Dec 19 08:30:26 GMT 2022","11090","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"passed","Mon Dec 19 08:31:19 GMT 2022","Mon Dec 19 08:31:34 GMT 2022","15010","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:31:34 GMT 2022","Mon Dec 19 08:31:54 GMT 2022","20871","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Mon Dec 19 08:31:04 GMT 2022","Mon Dec 19 08:31:19 GMT 2022","14771","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:30:50 GMT 2022","Mon Dec 19 08:30:54 GMT 2022","3523","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Mon Dec 19 08:30:01 GMT 2022","Mon Dec 19 08:30:11 GMT 2022","10086","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
