"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 07:10:08 GMT 2022","Tue Dec 13 07:10:23 GMT 2022","15020","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Tue Dec 13 07:10:45 GMT 2022","Tue Dec 13 07:10:55 GMT 2022","10180","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To change the background color of note","To change the background color of note",""
"passed","Tue Dec 13 07:10:23 GMT 2022","Tue Dec 13 07:10:45 GMT 2022","21931","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Tue Dec 13 07:09:52 GMT 2022","Tue Dec 13 07:10:08 GMT 2022","15983","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Tue Dec 13 07:09:42 GMT 2022","Tue Dec 13 07:09:52 GMT 2022","9884","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Tue Dec 13 07:10:55 GMT 2022","Tue Dec 13 07:11:09 GMT 2022","14131","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To change the theme of the app","To change the theme of the app",""
"passed","Tue Dec 13 07:09:38 GMT 2022","Tue Dec 13 07:09:42 GMT 2022","3875","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
