"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:45:19 GMT 2022","Mon Dec 19 08:45:29 GMT 2022","10263","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"skipped","Mon Dec 19 08:45:44 GMT 2022","Mon Dec 19 08:45:44 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 08:46:25 GMT 2022","Mon Dec 19 08:46:39 GMT 2022","14675","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:46:54 GMT 2022","Mon Dec 19 08:47:16 GMT 2022","21778","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Mon Dec 19 08:46:14 GMT 2022","Mon Dec 19 08:46:25 GMT 2022","10360","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Mon Dec 19 08:45:29 GMT 2022","Mon Dec 19 08:45:33 GMT 2022","3563","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 08:46:39 GMT 2022","Mon Dec 19 08:46:54 GMT 2022","14755","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:46:11 GMT 2022","Mon Dec 19 08:46:14 GMT 2022","3532","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"unknown","Mon Dec 19 08:45:33 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671439533406","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:45:33 GMT 2022","Mon Dec 19 08:45:44 GMT 2022","11113","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
