"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 06:14:23 GMT 2022","Sat Dec 17 06:14:38 GMT 2022","14598","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sat Dec 17 06:14:09 GMT 2022","Sat Dec 17 06:14:23 GMT 2022","14831","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sat Dec 17 06:13:55 GMT 2022","Sat Dec 17 06:13:58 GMT 2022","3734","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sat Dec 17 06:13:58 GMT 2022","Sat Dec 17 06:14:09 GMT 2022","10219","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sat Dec 17 06:14:38 GMT 2022","Sat Dec 17 06:14:59 GMT 2022","21142","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
