"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:29:08 GMT 2022","Mon Dec 19 08:29:11 GMT 2022","3607","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Mon Dec 19 08:28:27 GMT 2022","Mon Dec 19 08:28:31 GMT 2022","3516","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 08:29:36 GMT 2022","Mon Dec 19 08:29:51 GMT 2022","14951","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:28:31 GMT 2022","Mon Dec 19 08:28:42 GMT 2022","11038","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"passed","Mon Dec 19 08:28:17 GMT 2022","Mon Dec 19 08:28:27 GMT 2022","10467","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"unknown","Mon Dec 19 08:28:31 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671438511460","","Test case for e2e flow","","Test case for e2e flow","","",""
"skipped","Mon Dec 19 08:28:42 GMT 2022","Mon Dec 19 08:28:42 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 08:29:21 GMT 2022","Mon Dec 19 08:29:36 GMT 2022","15016","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:29:11 GMT 2022","Mon Dec 19 08:29:21 GMT 2022","10184","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Mon Dec 19 08:29:51 GMT 2022","Mon Dec 19 08:30:13 GMT 2022","21733","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
