"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 06:46:42 GMT 2022","Sun Dec 18 06:46:58 GMT 2022","15793","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sun Dec 18 06:46:58 GMT 2022","Sun Dec 18 06:47:21 GMT 2022","22643","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sun Dec 18 06:46:11 GMT 2022","Sun Dec 18 06:46:16 GMT 2022","4677","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sun Dec 18 06:46:27 GMT 2022","Sun Dec 18 06:46:42 GMT 2022","15151","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 06:46:16 GMT 2022","Sun Dec 18 06:46:27 GMT 2022","11157","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
