"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 07:05:28 GMT 2022","Sat Dec 17 07:05:38 GMT 2022","10019","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sat Dec 17 07:06:08 GMT 2022","Sat Dec 17 07:06:30 GMT 2022","22042","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sat Dec 17 07:05:24 GMT 2022","Sat Dec 17 07:05:28 GMT 2022","3729","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sat Dec 17 07:05:38 GMT 2022","Sat Dec 17 07:05:53 GMT 2022","14916","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sat Dec 17 07:05:53 GMT 2022","Sat Dec 17 07:06:08 GMT 2022","14900","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
