"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:42:23 GMT 2022","Mon Dec 19 08:42:38 GMT 2022","14930","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"unknown","Mon Dec 19 08:41:15 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671439275821","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:41:54 GMT 2022","Mon Dec 19 08:41:58 GMT 2022","4274","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Mon Dec 19 08:41:12 GMT 2022","Mon Dec 19 08:41:15 GMT 2022","3507","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 08:41:58 GMT 2022","Mon Dec 19 08:42:08 GMT 2022","10376","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Mon Dec 19 08:41:15 GMT 2022","Mon Dec 19 08:41:26 GMT 2022","11106","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"skipped","Mon Dec 19 08:41:26 GMT 2022","Mon Dec 19 08:41:26 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 08:42:08 GMT 2022","Mon Dec 19 08:42:23 GMT 2022","15020","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:42:38 GMT 2022","Mon Dec 19 08:43:00 GMT 2022","21495","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Mon Dec 19 08:41:02 GMT 2022","Mon Dec 19 08:41:12 GMT 2022","10194","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
