"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 15 19:18:01 GMT 2022","Thu Dec 15 19:18:22 GMT 2022","21234","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Thu Dec 15 19:17:16 GMT 2022","Thu Dec 15 19:17:20 GMT 2022","4778","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Thu Dec 15 19:17:20 GMT 2022","Thu Dec 15 19:17:31 GMT 2022","10719","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Thu Dec 15 19:17:46 GMT 2022","Thu Dec 15 19:18:01 GMT 2022","14685","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Thu Dec 15 19:16:38 GMT 2022","Thu Dec 15 19:16:48 GMT 2022","10582","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Thu Dec 15 19:17:31 GMT 2022","Thu Dec 15 19:17:46 GMT 2022","15304","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
