"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 05:35:38 GMT 2022","Sun Dec 18 05:35:59 GMT 2022","20742","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sun Dec 18 05:34:59 GMT 2022","Sun Dec 18 05:35:09 GMT 2022","9992","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sun Dec 18 05:35:09 GMT 2022","Sun Dec 18 05:35:24 GMT 2022","14511","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 05:35:24 GMT 2022","Sun Dec 18 05:35:38 GMT 2022","14358","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sun Dec 18 05:34:56 GMT 2022","Sun Dec 18 05:34:59 GMT 2022","3668","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
