"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 07:05:56 GMT 2022","Sat Dec 17 07:06:12 GMT 2022","15383","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sat Dec 17 07:05:27 GMT 2022","Sat Dec 17 07:05:31 GMT 2022","4004","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sat Dec 17 07:05:41 GMT 2022","Sat Dec 17 07:05:56 GMT 2022","15226","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sat Dec 17 07:06:12 GMT 2022","Sat Dec 17 07:06:34 GMT 2022","22671","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sat Dec 17 07:05:31 GMT 2022","Sat Dec 17 07:05:41 GMT 2022","10490","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
