"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:00:30 GMT 2022","Mon Dec 19 08:00:40 GMT 2022","10664","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"unknown","Mon Dec 19 07:59:48 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671436788037","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:01:11 GMT 2022","Mon Dec 19 08:01:32 GMT 2022","21281","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Mon Dec 19 08:00:55 GMT 2022","Mon Dec 19 08:01:11 GMT 2022","15496","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:00:40 GMT 2022","Mon Dec 19 08:00:55 GMT 2022","14911","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"skipped","Mon Dec 19 07:59:59 GMT 2022","Mon Dec 19 07:59:59 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 07:59:44 GMT 2022","Mon Dec 19 07:59:48 GMT 2022","3753","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 07:59:48 GMT 2022","Mon Dec 19 07:59:59 GMT 2022","11085","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"passed","Mon Dec 19 08:00:25 GMT 2022","Mon Dec 19 08:00:30 GMT 2022","4802","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Mon Dec 19 07:59:34 GMT 2022","Mon Dec 19 07:59:44 GMT 2022","10273","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
