"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 06:52:17 GMT 2022","Sat Dec 17 06:52:31 GMT 2022","14555","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sat Dec 17 06:51:51 GMT 2022","Sat Dec 17 06:52:02 GMT 2022","10090","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sat Dec 17 06:52:02 GMT 2022","Sat Dec 17 06:52:17 GMT 2022","15013","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sat Dec 17 06:52:31 GMT 2022","Sat Dec 17 06:52:53 GMT 2022","21733","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sat Dec 17 06:51:48 GMT 2022","Sat Dec 17 06:51:51 GMT 2022","3631","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
