"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 15 08:53:57 GMT 2022","Thu Dec 15 08:54:18 GMT 2022","21740","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Thu Dec 15 08:53:17 GMT 2022","Thu Dec 15 08:53:26 GMT 2022","9713","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Thu Dec 15 08:52:37 GMT 2022","Thu Dec 15 08:52:47 GMT 2022","9962","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Thu Dec 15 08:53:13 GMT 2022","Thu Dec 15 08:53:17 GMT 2022","3695","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Thu Dec 15 08:53:41 GMT 2022","Thu Dec 15 08:53:57 GMT 2022","15702","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Thu Dec 15 08:53:26 GMT 2022","Thu Dec 15 08:53:41 GMT 2022","14539","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
