"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 11:26:44 GMT 2022","Wed Dec 14 11:27:06 GMT 2022","22296","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Wed Dec 14 11:26:14 GMT 2022","Wed Dec 14 11:26:29 GMT 2022","15391","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Wed Dec 14 11:25:59 GMT 2022","Wed Dec 14 11:26:03 GMT 2022","4550","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Wed Dec 14 11:25:15 GMT 2022","Wed Dec 14 11:25:26 GMT 2022","10386","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Wed Dec 14 11:26:29 GMT 2022","Wed Dec 14 11:26:44 GMT 2022","15093","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Wed Dec 14 11:26:03 GMT 2022","Wed Dec 14 11:26:14 GMT 2022","10182","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
