"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 07:15:12 GMT 2022","Sun Dec 18 07:15:27 GMT 2022","14994","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 07:14:57 GMT 2022","Sun Dec 18 07:15:01 GMT 2022","4397","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sun Dec 18 07:14:19 GMT 2022","Sun Dec 18 07:14:30 GMT 2022","11205","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"skipped","Sun Dec 18 07:14:30 GMT 2022","Sun Dec 18 07:14:30 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Sun Dec 18 07:15:42 GMT 2022","Sun Dec 18 07:16:04 GMT 2022","22894","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Sun Dec 18 07:15:01 GMT 2022","Sun Dec 18 07:15:12 GMT 2022","10228","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sun Dec 18 07:14:05 GMT 2022","Sun Dec 18 07:14:15 GMT 2022","10067","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"unknown","Sun Dec 18 07:14:19 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671347659008","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Sun Dec 18 07:15:27 GMT 2022","Sun Dec 18 07:15:42 GMT 2022","14952","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sun Dec 18 07:14:15 GMT 2022","Sun Dec 18 07:14:19 GMT 2022","3642","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
