"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 08:47:10 GMT 2022","Mon Dec 19 08:47:22 GMT 2022","12545","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"unknown","Mon Dec 19 08:47:26 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671439646512","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Mon Dec 19 08:48:08 GMT 2022","Mon Dec 19 08:48:18 GMT 2022","10328","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Mon Dec 19 08:47:26 GMT 2022","Mon Dec 19 08:47:37 GMT 2022","11209","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"passed","Mon Dec 19 08:47:22 GMT 2022","Mon Dec 19 08:47:26 GMT 2022","3812","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Mon Dec 19 08:48:04 GMT 2022","Mon Dec 19 08:48:08 GMT 2022","3871","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"skipped","Mon Dec 19 08:47:37 GMT 2022","Mon Dec 19 08:47:37 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"passed","Mon Dec 19 08:48:33 GMT 2022","Mon Dec 19 08:48:48 GMT 2022","15041","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Mon Dec 19 08:48:18 GMT 2022","Mon Dec 19 08:48:33 GMT 2022","15018","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Mon Dec 19 08:48:48 GMT 2022","Mon Dec 19 08:49:10 GMT 2022","21948","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
