"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 16 16:47:44 GMT 2022","Fri Dec 16 16:47:58 GMT 2022","14801","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Fri Dec 16 16:47:58 GMT 2022","Fri Dec 16 16:48:19 GMT 2022","20803","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
"passed","Fri Dec 16 16:47:18 GMT 2022","Fri Dec 16 16:47:28 GMT 2022","9995","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Fri Dec 16 16:47:14 GMT 2022","Fri Dec 16 16:47:18 GMT 2022","4187","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Fri Dec 16 16:47:28 GMT 2022","Fri Dec 16 16:47:44 GMT 2022","15212","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
